1200015, 20180226 16:00:00,  AAPL  190118C00085000@SMART Trades
1200016, 20180223 16:00:00,  AAPL  190118C00085000@SMART Trades
1200017, 20180222 16:00:00,  AAPL  190118C00085000@SMART Trades
1200018, 20180221 16:00:00,  AAPL  190118C00085000@SMART Trades
1200019, 20180220 16:00:00,  AAPL  190118C00085000@SMART Trades
1200020, 20180219 16:00:00,  AAPL  190118C00085000@SMART Trades
1200021, 20180216 16:00:00,  AAPL  190118C00085000@SMART Trades
1200023, 20180214 16:00:00,  AAPL  190118C00085000@SMART Trades
1200024, 20180213 16:00:00,  AAPL  190118C00085000@SMART Trades
1200025, 20180212 16:00:00,  AAPL  190118C00085000@SMART Trades
1200026, 20180209 16:00:00,  AAPL  190118C00085000@SMART Trades
1200027, 20180208 16:00:00,  AAPL  190118C00085000@SMART Trades
1200029, 20180206 16:00:00,  AAPL  190118C00085000@SMART Trades
1200030, 20180205 16:00:00,  AAPL  190118C00085000@SMART Trades
1200031, 20180202 16:00:00,  AAPL  190118C00085000@SMART Trades
1200032, 20180201 16:00:00,  AAPL  190118C00085000@SMART Trades
1200033, 20180131 16:00:00,  AAPL  190118C00085000@SMART Trades
1200034, 20180130 16:00:00,  AAPL  190118C00085000@SMART Trades
1200036, 20180126 16:00:00,  AAPL  190118C00085000@SMART Trades
1200037, 20180125 16:00:00,  AAPL  190118C00085000@SMART Trades
1200038, 20180124 16:00:00,  AAPL  190118C00085000@SMART Trades
1200039, 20180123 16:00:00,  AAPL  190118C00085000@SMART Trades
1200041, 20180119 16:00:00,  AAPL  190118C00085000@SMART Trades
1200043, 20180117 16:00:00,  AAPL  190118C00085000@SMART Trades
1200044, 20180116 16:00:00,  AAPL  190118C00085000@SMART Trades
1200045, 20180115 16:00:00,  AAPL  190118C00085000@SMART Trades
1200046, 20180112 16:00:00,  AAPL  190118C00085000@SMART Trades
1200047, 20180111 16:00:00,  AAPL  190118C00085000@SMART Trades
1200048, 20180110 16:00:00,  AAPL  190118C00085000@SMART Trades
1200049, 20180109 16:00:00,  AAPL  190118C00085000@SMART Trades
1200050, 20180108 16:00:00,  AAPL  190118C00085000@SMART Trades
1200052, 20180104 16:00:00,  AAPL  190118C00085000@SMART Trades
1200053, 20180103 16:00:00,  AAPL  190118C00085000@SMART Trades
1200054, 20180102 16:00:00,  AAPL  190118C00085000@SMART Trades
1200055, 20180101 16:00:00,  AAPL  190118C00085000@SMART Trades
1200056, 20171229 16:00:00,  AAPL  190118C00085000@SMART Trades
1200057, 20171228 16:00:00,  AAPL  190118C00085000@SMART Trades
1200058, 20171227 16:00:00,  AAPL  190118C00085000@SMART Trades
1200059, 20171226 16:00:00,  AAPL  190118C00085000@SMART Trades
1200060, 20171225 16:00:00,  AAPL  190118C00085000@SMART Trades
1200061, 20171222 16:00:00,  AAPL  190118C00085000@SMART Trades
1200062, 20171221 16:00:00,  AAPL  190118C00085000@SMART Trades
1200063, 20171220 16:00:00,  AAPL  190118C00085000@SMART Trades
1200064, 20171219 16:00:00,  AAPL  190118C00085000@SMART Trades
1200065, 20171218 16:00:00,  AAPL  190118C00085000@SMART Trades
1200066, 20171215 16:00:00,  AAPL  190118C00085000@SMART Trades
1200067, 20171214 16:00:00,  AAPL  190118C00085000@SMART Trades
1200068, 20171213 16:00:00,  AAPL  190118C00085000@SMART Trades
1200069, 20171212 16:00:00,  AAPL  190118C00085000@SMART Trades
1200070, 20171211 16:00:00,  AAPL  190118C00085000@SMART Trades
1200071, 20171208 16:00:00,  AAPL  190118C00085000@SMART Trades
1200072, 20171207 16:00:00,  AAPL  190118C00085000@SMART Trades
1200073, 20171206 16:00:00,  AAPL  190118C00085000@SMART Trades
1200074, 20171205 16:00:00,  AAPL  190118C00085000@SMART Trades
1200075, 20171204 16:00:00,  AAPL  190118C00085000@SMART Trades
1200076, 20171201 16:00:00,  AAPL  190118C00085000@SMART Trades
1200077, 20171130 16:00:00,  AAPL  190118C00085000@SMART Trades
1300001, 20171127 16:00:00,  AAPL  190118C00090000@SMART Trades
1300002, 20180315 16:00:00,  AAPL  190118C00090000@SMART Trades
1300004, 20180313 16:00:00,  AAPL  190118C00090000@SMART Trades
1300005, 20180312 16:00:00,  AAPL  190118C00090000@SMART Trades
1300006, 20180309 16:00:00,  AAPL  190118C00090000@SMART Trades
1300007, 20180308 16:00:00,  AAPL  190118C00090000@SMART Trades
1300008, 20180307 16:00:00,  AAPL  190118C00090000@SMART Trades
1300009, 20180306 16:00:00,  AAPL  190118C00090000@SMART Trades
1300010, 20180305 16:00:00,  AAPL  190118C00090000@SMART Trades
1300011, 20180302 16:00:00,  AAPL  190118C00090000@SMART Trades
1300012, 20180301 16:00:00,  AAPL  190118C00090000@SMART Trades
1300016, 20180223 16:00:00,  AAPL  190118C00090000@SMART Trades
1300020, 20180219 16:00:00,  AAPL  190118C00090000@SMART Trades
1300021, 20180216 16:00:00,  AAPL  190118C00090000@SMART Trades
1300024, 20180213 16:00:00,  AAPL  190118C00090000@SMART Trades
1300027, 20180208 16:00:00,  AAPL  190118C00090000@SMART Trades
1300028, 20180207 16:00:00,  AAPL  190118C00090000@SMART Trades
1300033, 20180131 16:00:00,  AAPL  190118C00090000@SMART Trades
1300036, 20180126 16:00:00,  AAPL  190118C00090000@SMART Trades
1300041, 20180119 16:00:00,  AAPL  190118C00090000@SMART Trades
1300043, 20180117 16:00:00,  AAPL  190118C00090000@SMART Trades
1300044, 20180116 16:00:00,  AAPL  190118C00090000@SMART Trades
1300047, 20180111 16:00:00,  AAPL  190118C00090000@SMART Trades
1300049, 20180109 16:00:00,  AAPL  190118C00090000@SMART Trades
1300051, 20180105 16:00:00,  AAPL  190118C00090000@SMART Trades
1300052, 20180104 16:00:00,  AAPL  190118C00090000@SMART Trades
1300053, 20180103 16:00:00,  AAPL  190118C00090000@SMART Trades
1300054, 20180102 16:00:00,  AAPL  190118C00090000@SMART Trades
1300057, 20171228 16:00:00,  AAPL  190118C00090000@SMART Trades
1300058, 20171227 16:00:00,  AAPL  190118C00090000@SMART Trades
1300059, 20171226 16:00:00,  AAPL  190118C00090000@SMART Trades
1300060, 20171225 16:00:00,  AAPL  190118C00090000@SMART Trades
1300061, 20171222 16:00:00,  AAPL  190118C00090000@SMART Trades
1300062, 20171221 16:00:00,  AAPL  190118C00090000@SMART Trades
1300063, 20171220 16:00:00,  AAPL  190118C00090000@SMART Trades
1300064, 20171219 16:00:00,  AAPL  190118C00090000@SMART Trades
1300066, 20171215 16:00:00,  AAPL  190118C00090000@SMART Trades
1300067, 20171214 16:00:00,  AAPL  190118C00090000@SMART Trades
